Ticker,Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
META,2025-12-15 09:30:00-05:00,644.25,649.65,638.7,641.05,2264723,0.525,0.0
META,2025-12-15 10:30:00-05:00,640.93,650.76,640.8,650.55,1317447,0.0,0.0
META,2025-12-15 11:30:00-05:00,650.62,651.39,648.67,650.31,846923,0.0,0.0
META,2025-12-15 12:30:00-05:00,650.37,652.32,649.24,650.22,647454,0.0,0.0
META,2025-12-15 13:30:00-05:00,650.1,652.16,649.25,651.22,545846,0.0,0.0
META,2025-12-15 14:30:00-05:00,651.28,651.62,649.91,650.99,713982,0.0,0.0
META,2025-12-15 15:30:00-05:00,651.05,653.0,647.12,647.5,1323739,0.0,0.0
META,2025-12-16 09:30:00-05:00,643.24,654.6,643.2,649.31,1535518,0.0,0.0
META,2025-12-16 10:30:00-05:00,649.28,653.75,648.6,650.36,841855,0.0,0.0
META,2025-12-16 11:30:00-05:00,650.24,652.8,648.22,651.37,708590,0.0,0.0
META,2025-12-16 12:30:00-05:00,651.37,652.68,649.25,650.27,610210,0.0,0.0
META,2025-12-16 13:30:00-05:00,650.33,655.23,650.33,655.08,912599,0.0,0.0
META,2025-12-16 14:30:00-05:00,655.05,659.2,655.04,658.86,1153621,0.0,0.0
META,2025-12-16 15:30:00-05:00,658.84,662.52,657.11,657.16,1455221,0.0,0.0
META,2025-12-17 09:30:00-05:00,655.61,660.2,654.0,659.42,1621830,0.0,0.0
META,2025-12-17 10:30:00-05:00,659.4,660.15,655.13,658.8,1103389,0.0,0.0
META,2025-12-17 11:30:00-05:00,658.69,660.4,655.9,659.47,843112,0.0,0.0
META,2025-12-17 12:30:00-05:00,659.43,661.23,656.78,657.41,665345,0.0,0.0
META,2025-12-17 13:30:00-05:00,657.4,657.91,652.07,653.03,798722,0.0,0.0
META,2025-12-17 14:30:00-05:00,653.12,654.95,652.41,653.58,644997,0.0,0.0
META,2025-12-17 15:30:00-05:00,653.64,654.7,649.2,649.48,1157955,0.0,0.0
META,2025-12-18 09:30:00-05:00,656.99,666.7,656.46,666.34,2745202,0.0,0.0
META,2025-12-18 10:30:00-05:00,666.3,670.56,665.77,667.03,1383130,0.0,0.0
META,2025-12-18 11:30:00-05:00,667.0,668.75,662.22,663.91,1117215,0.0,0.0
META,2025-12-18 12:30:00-05:00,663.81,667.22,663.38,666.62,693816,0.0,0.0
META,2025-12-18 13:30:00-05:00,666.62,667.52,663.16,663.94,537565,0.0,0.0
META,2025-12-18 14:30:00-05:00,663.93,664.93,661.77,664.54,795351,0.0,0.0
