Ticker,Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
META,2025-12-08 09:30:00-05:00,669.68,676.71,665.64,668.77,2929014,0.0,0.0
META,2025-12-08 10:30:00-05:00,668.7,670.77,667.52,669.84,1062264,0.0,0.0
META,2025-12-08 11:30:00-05:00,669.88,670.9,668.07,669.43,690379,0.0,0.0
META,2025-12-08 12:30:00-05:00,669.43,670.21,667.65,667.86,569351,0.0,0.0
META,2025-12-08 13:30:00-05:00,667.75,668.36,666.02,666.48,542845,0.0,0.0
META,2025-12-08 14:30:00-05:00,666.49,668.34,666.24,668.21,483116,0.0,0.0
META,2025-12-08 15:30:00-05:00,668.24,668.35,666.37,667.03,827687,0.0,0.0
META,2025-12-09 09:30:00-05:00,666.8,666.8,653.34,656.72,2277901,0.0,0.0
META,2025-12-09 10:30:00-05:00,656.72,658.3,654.6,655.5,1193432,0.0,0.0
META,2025-12-09 11:30:00-05:00,655.5,657.42,654.27,655.33,766280,0.0,0.0
META,2025-12-09 12:30:00-05:00,655.33,657.65,653.78,657.48,779705,0.0,0.0
META,2025-12-09 13:30:00-05:00,657.48,660.09,657.3,657.98,764940,0.0,0.0
META,2025-12-09 14:30:00-05:00,657.98,658.5,656.29,656.35,595350,0.0,0.0
META,2025-12-09 15:30:00-05:00,656.35,666.8,655.6,656.82,774237,0.0,0.0
META,2025-12-10 09:30:00-05:00,650.4,654.51,647.31,651.32,1971573,0.0,0.0
META,2025-12-10 10:30:00-05:00,651.04,652.95,648.08,652.85,1226649,0.0,0.0
META,2025-12-10 11:30:00-05:00,652.83,653.31,649.88,650.25,638304,0.0,0.0
META,2025-12-10 12:30:00-05:00,650.2,651.0,644.03,644.84,1159629,0.0,0.0
META,2025-12-10 13:30:00-05:00,644.72,649.17,644.1,645.49,1289902,0.0,0.0
META,2025-12-10 14:30:00-05:00,645.49,650.13,643.4,647.92,1545291,0.0,0.0
META,2025-12-10 15:30:00-05:00,648.04,650.88,647.91,649.93,1033356,0.0,0.0
META,2025-12-11 09:30:00-05:00,642.73,655.28,640.79,652.61,2302563,0.0,0.0
META,2025-12-11 10:30:00-05:00,652.54,653.18,646.03,646.61,990587,0.0,0.0
META,2025-12-11 11:30:00-05:00,646.71,649.72,645.3,648.84,586515,0.0,0.0
META,2025-12-11 12:30:00-05:00,648.84,650.45,647.96,649.39,651876,0.0,0.0
META,2025-12-11 13:30:00-05:00,649.34,653.41,649.23,651.92,660057,0.0,0.0
META,2025-12-11 14:30:00-05:00,652.0,653.28,650.2,650.55,639281,0.0,0.0
META,2025-12-11 15:30:00-05:00,650.52,652.87,650.15,652.78,649752,0.0,0.0
META,2025-12-12 09:30:00-05:00,650.21,652.01,643.85,644.01,1868580,0.0,0.0
META,2025-12-12 10:30:00-05:00,643.93,647.2,639.01,641.47,1448891,0.0,0.0
META,2025-12-12 11:30:00-05:00,641.37,643.82,638.61,643.22,1057779,0.0,0.0
META,2025-12-12 12:30:00-05:00,643.37,648.5,642.27,647.5,872664,0.0,0.0
META,2025-12-12 13:30:00-05:00,647.68,648.5,645.09,645.31,604159,0.0,0.0
META,2025-12-12 14:30:00-05:00,645.32,646.2,644.48,645.35,670874,0.0,0.0
META,2025-12-12 15:30:00-05:00,645.46,645.82,642.6,644.24,982613,0.0,0.0
AAPL,2025-12-08 09:30:00-05:00,278.17,279.67,277.45,277.56,6285926,0.0,0.0
AAPL,2025-12-08 10:30:00-05:00,277.55,277.88,276.7,277.46,3326326,0.0,0.0
AAPL,2025-12-08 11:30:00-05:00,277.47,277.82,277.0,277.23,1896481,0.0,0.0
AAPL,2025-12-08 12:30:00-05:00,277.21,277.85,276.87,276.97,1999024,0.0,0.0
AAPL,2025-12-08 13:30:00-05:00,276.95,276.95,276.2,276.36,1825108,0.0,0.0
AAPL,2025-12-08 14:30:00-05:00,276.37,276.97,276.15,276.92,2861661,0.0,0.0
AAPL,2025-12-08 15:30:00-05:00,276.93,277.98,276.66,277.96,2613900,0.0,0.0
AAPL,2025-12-09 09:30:00-05:00,277.89,280.03,277.35,277.7,5341504,0.0,0.0
AAPL,2025-12-09 10:30:00-05:00,277.7,278.0,277.03,277.41,2290151,0.0,0.0
AAPL,2025-12-09 11:30:00-05:00,277.41,278.12,277.2,277.88,1696929,0.0,0.0
AAPL,2025-12-09 12:30:00-05:00,277.88,278.74,277.8,278.39,1988455,0.0,0.0
AAPL,2025-12-09 13:30:00-05:00,278.39,278.89,278.12,278.69,1262893,0.0,0.0
AAPL,2025-12-09 14:30:00-05:00,278.69,278.75,277.65,277.86,1906538,0.0,0.0
AAPL,2025-12-09 15:30:00-05:00,277.86,278.25,276.92,277.23,2737573,0.0,0.0
AAPL,2025-12-10 09:30:00-05:00,277.87,278.79,276.58,277.45,3868165,0.0,0.0
AAPL,2025-12-10 10:30:00-05:00,277.45,278.28,276.44,278.26,1880040,0.0,0.0
AAPL,2025-12-10 11:30:00-05:00,278.23,278.89,277.98,278.53,1611918,0.0,0.0
AAPL,2025-12-10 12:30:00-05:00,278.52,279.28,278.08,278.12,1374275,0.0,0.0
AAPL,2025-12-10 13:30:00-05:00,278.12,279.22,277.91,278.22,1631790,0.0,0.0
AAPL,2025-12-10 14:30:00-05:00,278.22,279.75,277.7,278.98,2578278,0.0,0.0
AAPL,2025-12-10 15:30:00-05:00,278.99,279.37,278.59,278.72,2242651,0.0,0.0
AAPL,2025-12-11 09:30:00-05:00,279.1,279.58,273.81,276.12,6887208,0.0,0.0
AAPL,2025-12-11 10:30:00-05:00,276.11,276.59,275.2,275.83,2343607,0.0,0.0
AAPL,2025-12-11 11:30:00-05:00,275.82,278.18,275.81,277.9,2412367,0.0,0.0
AAPL,2025-12-11 12:30:00-05:00,277.92,278.35,277.38,277.52,1473658,0.0,0.0
AAPL,2025-12-11 13:30:00-05:00,277.52,278.21,277.51,277.76,1432317,0.0,0.0
AAPL,2025-12-11 14:30:00-05:00,277.76,278.21,277.59,278.1,1817634,0.0,0.0
AAPL,2025-12-11 15:30:00-05:00,278.09,278.21,277.47,278.06,1985352,0.0,0.0
AAPL,2025-12-12 09:30:00-05:00,277.8,279.22,276.82,277.87,3907328,0.0,0.0
AAPL,2025-12-12 10:30:00-05:00,277.88,278.86,277.44,277.74,3485545,0.0,0.0
AAPL,2025-12-12 11:30:00-05:00,277.77,278.44,277.28,277.86,2096132,0.0,0.0
AAPL,2025-12-12 12:30:00-05:00,277.83,279.19,277.83,279.05,2564725,0.0,0.0
AAPL,2025-12-12 13:30:00-05:00,279.04,279.05,277.73,277.95,2354465,0.0,0.0
AAPL,2025-12-12 14:30:00-05:00,277.95,278.7,277.81,278.05,2391168,0.0,0.0
AAPL,2025-12-12 15:30:00-05:00,278.05,278.5,276.95,278.37,2787871,0.0,0.0
AMZN,2025-12-08 09:30:00-05:00,229.52,230.82,228.51,229.04,5237392,0.0,0.0
AMZN,2025-12-08 10:30:00-05:00,229.03,229.31,227.55,228.07,2886442,0.0,0.0
AMZN,2025-12-08 11:30:00-05:00,228.04,228.39,227.24,227.28,2070338,0.0,0.0
AMZN,2025-12-08 12:30:00-05:00,227.27,227.77,227.02,227.05,2032964,0.0,0.0
AMZN,2025-12-08 13:30:00-05:00,227.02,227.37,226.7,227.09,2086023,0.0,0.0
AMZN,2025-12-08 14:30:00-05:00,227.09,227.19,226.71,226.97,1794666,0.0,0.0
AMZN,2025-12-08 15:30:00-05:00,226.98,227.13,226.27,226.99,3015249,0.0,0.0
AMZN,2025-12-09 09:30:00-05:00,226.89,227.75,225.11,227.66,3766539,0.0,0.0
AMZN,2025-12-09 10:30:00-05:00,227.66,228.57,227.5,227.84,2190514,0.0,0.0
AMZN,2025-12-09 11:30:00-05:00,227.84,228.36,227.7,227.99,1465538,0.0,0.0
AMZN,2025-12-09 12:30:00-05:00,227.99,228.41,227.42,228.31,1240343,0.0,0.0
AMZN,2025-12-09 13:30:00-05:00,228.31,228.41,227.91,227.98,1005503,0.0,0.0
AMZN,2025-12-09 14:30:00-05:00,227.98,228.28,227.66,227.91,1275552,0.0,0.0
AMZN,2025-12-09 15:30:00-05:00,227.91,228.08,226.89,227.9,1498414,0.0,0.0
AMZN,2025-12-10 09:30:00-05:00,228.59,232.42,228.47,231.74,7146039,0.0,0.0
AMZN,2025-12-10 10:30:00-05:00,231.74,232.02,230.0,231.66,2842036,0.0,0.0
AMZN,2025-12-10 11:30:00-05:00,231.64,232.11,230.65,230.72,1702459,0.0,0.0
AMZN,2025-12-10 12:30:00-05:00,230.7,231.6,230.19,230.34,1515784,0.0,0.0
AMZN,2025-12-10 13:30:00-05:00,230.32,231.41,229.84,230.26,2879222,0.0,0.0
AMZN,2025-12-10 14:30:00-05:00,230.28,232.23,229.8,231.92,3311589,0.0,0.0
AMZN,2025-12-10 15:30:00-05:00,231.91,232.39,231.55,231.69,10520445,0.0,0.0
AMZN,2025-12-11 09:30:00-05:00,230.71,232.11,229.42,230.88,4677750,0.0,0.0
AMZN,2025-12-11 10:30:00-05:00,230.86,231.04,228.69,228.85,2150176,0.0,0.0
AMZN,2025-12-11 11:30:00-05:00,228.89,230.28,228.78,230.08,1738077,0.0,0.0
AMZN,2025-12-11 12:30:00-05:00,230.09,230.4,229.24,229.48,1695827,0.0,0.0
AMZN,2025-12-11 13:30:00-05:00,229.48,230.08,229.34,229.84,1454306,0.0,0.0
AMZN,2025-12-11 14:30:00-05:00,229.85,230.1,229.51,229.69,1703233,0.0,0.0
AMZN,2025-12-11 15:30:00-05:00,229.71,230.3,229.31,230.27,2253506,0.0,0.0
AMZN,2025-12-12 09:30:00-05:00,230.02,230.08,226.35,226.38,6052796,0.0,0.0
AMZN,2025-12-12 10:30:00-05:00,226.36,227.61,225.3,226.02,3720416,0.0,0.0
AMZN,2025-12-12 11:30:00-05:00,226.0,226.7,225.12,226.33,2582048,0.0,0.0
AMZN,2025-12-12 12:30:00-05:00,226.32,227.14,226.15,226.99,1740300,0.0,0.0
